City_ID,City,Latitude,Longitude,Max Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/sec),Country,Date
166,karratha,-20.7377,116.8463,26.92,69,11,2.78,AU,1698524017
167,argo,37.6333,22.7333,20.44,69,96,1.62,GR,1698524017
168,zhezqazghan,47.7833,67.7667,6.82,76,81,3.83,KZ,1698524017
169,saudarkrokur,65.7461,-19.6394,-0.07,82,93,2.93,IS,1698523967
170,sao vicente,-23.9631,-46.3919,31.1,91,100,1.31,BR,1698524016
171,hurghada,27.2574,33.8129,25.85,65,42,3.25,EG,1698524018
172,okhotsk,59.3833,143.3,-4.37,83,99,5.73,RU,1698524018
173,hamilton,39.1834,-84.5333,14.68,90,100,4.63,US,1698524018
174,fort bragg,35.139,-79.006,30.36,49,0,0.45,US,1698523844
175,mil'kovo,55.6078,37.7956,0.75,97,100,5.12,RU,1698524018
176,callaway,30.153,-85.5699,29.03,65,0,4.63,US,1698523974
177,murray bridge,-35.1167,139.2667,8.52,90,13,1.13,AU,1698524018
178,brookhaven,31.5791,-90.4407,30.14,38,9,3.21,US,1698524019
179,nikolayevsk-on-amure,53.1406,140.73,-2.22,84,55,2.1,RU,1698524019
180,codrington,-38.2667,141.9667,4.33,94,38,3.42,AU,1698524019
181,kavaratti,10.5669,72.642,28.54,70,61,1.46,IN,1698524019
182,tromso,69.6496,18.957,-3.99,86,0,0.51,NO,1698523920
183,lysekil,58.2743,11.4358,2.34,85,100,6.14,SE,1698524019
184,utrik,11.2278,169.8474,28.25,78,100,8.51,MH,1698524020
185,mount pearl,47.5166,-52.7813,12.75,95,100,5.66,CA,1698524020
186,pacocha,-17.5833,-71.3333,20.06,78,66,2.98,PE,1698524020
187,sena madureira,-9.0656,-68.6569,33.85,44,100,1.53,BR,1698523920
188,page,36.9147,-111.4558,20.88,31,40,2.06,US,1698524021
189,lorengau,-2.0226,147.2712,27.1,84,94,3.97,PG,1698524021
190,tofol,5.3248,163.0078,28.41,72,8,3.21,FM,1698524021
191,yaren,-0.5472,166.916,28.36,71,100,2.84,NR,1698524021
192,greymouth,-42.4667,171.2,8.55,86,16,1.83,NZ,1698524021
193,el calafate,-50.3408,-72.2768,7.13,56,56,4.14,AR,1698524021
194,bartlesville,36.7473,-95.9808,6.08,85,100,3.09,US,1698524022
195,woolgoolga,-30.1106,153.2007,13.93,76,63,1.24,AU,1698524022
196,nova sintra,14.8667,-24.7167,23.74,77,34,7.9,CV,1698524022
197,hastings,50.8552,0.5729,15.51,40,98,13.41,GB,1698524022
198,kudat,6.8837,116.8477,26.36,83,30,2.06,MY,1698524022
199,tazovsky,67.4667,78.7,-14.16,91,56,4.39,RU,1698524023
200,touros,-5.1989,-35.4608,26.48,69,16,7.01,BR,1698524023
201,recani,31.2846,-4.2688,24.33,20,100,2.43,MA,1698524023
202,plonsk,52.6235,20.3755,8.12,84,100,1.84,PL,1698524023
203,ilhabela,-23.7781,-45.3581,24.64,91,100,3.6,BR,1698524023
204,port lincoln,-34.7333,135.8667,9.29,80,2,2.13,AU,1698524023
205,guarapari,-20.6667,-40.4975,25.27,83,100,7.2,BR,1698523847
206,taksimo,56.3444,114.8794,-5.48,58,100,2.89,RU,1698524023
207,calama,-22.4667,-68.9333,19.8,16,19,9.85,CL,1698524024
208,port alfred,-33.5906,26.891,14.17,67,100,10.38,ZA,1698523981
209,tsiombe,-25.3,45.4833,23.06,86,0,1.33,MG,1698524024
210,alice springs,-23.7,133.8833,10.75,16,97,2.57,AU,1698524024
211,mont-dore,-22.2833,166.5833,21.99,74,82,5.58,NC,1698524024
212,lerwick,60.1545,-1.1494,8.0,65,30,10.16,GB,1698524024
213,oroqen zizhiqi,50.5667,123.7167,0.02,65,100,0.78,CN,1698524025
214,novaya igirma,57.1334,103.9112,-5.75,55,74,3.97,RU,1698524025
215,colac,-38.3333,143.5833,6.16,93,75,0.31,AU,1698524025
216,parham,17.0968,-61.7705,25.83,74,40,5.66,AG,1698524025
217,leshan,29.5623,103.7639,17.19,85,100,1.03,CN,1698524025
218,chonchi,-42.6128,-73.8092,9.51,81,80,6.16,CL,1698524025
219,adrar,20.5022,-10.0711,30.61,12,0,2.53,MR,1698524026
220,ouani,-12.1322,44.4258,26.14,82,3,3.62,KM,1698524026
221,nar'yan-mar,67.6713,53.087,-12.16,90,100,3.58,RU,1698524026
222,vangaindrano,-23.35,47.6,22.98,93,99,3.31,MG,1698524026
223,anchorage,61.2181,-149.9003,6.74,76,0,3.09,US,1698523954
224,karachi,24.9056,67.0822,22.9,53,0,1.54,PK,1698523861
225,margate,51.3813,1.3862,14.06,92,100,3.58,GB,1698524026
226,kapa'a,22.0752,-159.319,27.99,66,0,2.57,US,1698524026
227,oranjemund,-28.55,16.4333,14.95,80,0,10.7,NA,1698524027
228,bonthe,7.5264,-12.505,26.7,81,8,1.82,SL,1698524027
229,puerto leguizamo,-0.1934,-74.7819,31.84,55,100,1.73,CO,1698524027
230,coquimbo,-29.9533,-71.3436,16.23,67,65,3.95,CL,1698524027
231,tsumeb,-19.2333,17.7167,28.67,24,93,2.7,NA,1698524027
232,acarau,-2.8856,-40.12,27.68,68,21,9.81,BR,1698524027
233,mount gambier,-37.8333,140.7667,3.87,97,42,2.21,AU,1698524027
234,iskateley,67.6803,53.1512,-12.21,90,100,3.58,RU,1698524028
235,beaucaire,43.8081,4.6442,19.01,88,100,3.6,FR,1698524028
236,tarariras,-34.2833,-57.6167,27.87,45,0,2.39,UY,1698524028
237,laascaanood,8.4774,47.3597,24.7,71,100,5.69,SO,1698524028
238,qamdo,31.1667,97.2333,-5.38,52,0,0.55,CN,1698524028
239,kataba,13.9833,44.3833,16.88,75,100,1.27,YE,1698524028
240,dudinka,69.4058,86.1778,-14.1,92,62,5.81,RU,1698524028
241,leer,53.2316,7.461,11.08,95,55,5.38,DE,1698524028
242,nadi,-17.8,177.4167,27.0,69,20,1.03,FJ,1698523978
243,val-d'or,48.1002,-77.7828,1.05,75,75,5.66,CA,1698524029
244,stavern,59.0,10.0333,1.21,75,100,5.62,NO,1698524029
245,happy valley-goose bay,53.3168,-60.3315,4.17,93,75,3.09,CA,1698523766
246,emerald,-23.5333,148.1667,15.75,75,40,4.0,AU,1698524029
247,skovorodino,53.9833,123.9167,-1.91,79,100,1.32,RU,1698524029
248,laojunmiao,39.8333,97.7333,5.93,36,85,0.08,CN,1698524029
249,hammerfest,70.6634,23.6821,-0.75,80,40,1.54,NO,1698524030
250,malabar,-33.9667,151.25,14.51,78,0,3.09,AU,1698524030
251,chifeng,42.2683,118.9636,9.98,46,6,2.77,CN,1698524030
252,stanley,54.868,-1.6985,9.04,96,75,2.06,GB,1698524030
253,inarajan village,13.2736,144.7484,28.08,95,81,5.78,GU,1698524030
254,tamanrasset,22.785,5.5228,25.95,15,75,2.57,DZ,1698524030
255,laramie,41.3114,-105.5911,-2.73,81,100,4.12,US,1698524030
256,kailua-kona,19.6406,-155.9956,30.89,65,20,5.14,US,1698524031
257,rongelap,11.1635,166.8941,28.29,78,16,6.48,MH,1698524031
258,acara,-1.9608,-48.1967,37.36,29,66,1.32,BR,1698524031
259,fale old settlement,-9.3852,-171.2468,28.3,75,45,4.68,TK,1698524031
260,powell river,49.8496,-124.5361,9.0,76,20,1.03,CA,1698524031
261,yulinshi,38.2906,109.7494,12.68,37,4,2.31,CN,1698524031
262,uturoa,-16.7333,-151.4333,26.31,77,95,5.97,PF,1698524031
263,qulsary,46.9531,54.0198,16.07,77,100,4.19,KZ,1698524031
264,caleta de carquin,-11.0925,-77.6267,21.45,77,100,5.73,PE,1698524032
265,marivan,35.5219,46.176,13.68,61,0,1.0,IR,1698524032
266,arambol,15.6868,73.7045,24.72,69,10,0.96,IN,1698524032
267,fuglafjordur,62.244,-6.814,7.26,80,99,10.29,FO,1698524032
268,horta,38.5333,-28.6333,17.8,68,40,4.63,PT,1698524032
269,priozersk,61.0393,30.1291,2.84,75,98,3.89,RU,1698524032
270,isafjordur,66.0755,-23.124,2.34,87,100,2.4,IS,1698523932
271,saurimo,-9.6608,20.3916,19.78,73,25,0.9,AO,1698524032
272,thinadhoo,0.5333,72.9333,27.38,81,23,7.99,MV,1698524033
273,constantia,44.1833,28.65,18.17,47,100,2.59,RO,1698523928
274,ta`u,-14.2336,-169.5144,26.54,83,43,7.53,AS,1698523862
275,santa ana,33.7456,-117.8678,24.69,63,40,3.6,US,1698523838
276,yanam,16.7333,82.2167,25.67,77,96,1.67,IN,1698524033
277,pindare mirim,-3.6083,-45.3433,38.99,22,34,2.42,BR,1698524033
278,san pedro pochutla,15.7333,-96.4667,32.84,57,50,3.53,MX,1698524033
279,sandnessjoen,66.0217,12.6316,-1.71,97,100,5.13,NO,1698524033
280,greenville,35.6127,-77.3663,30.08,50,0,0.0,US,1698523782
281,usinsk,65.9939,57.5281,-12.18,91,29,1.34,RU,1698524034
282,richmond,37.5538,-77.4603,30.67,47,20,2.57,US,1698523591
283,amursk,50.2261,136.8994,2.21,69,81,2.65,RU,1698524034
284,panjab,34.388,67.0233,5.79,39,19,1.21,AF,1698524034
285,chibougamau,49.9168,-74.3659,-0.21,74,75,6.69,CA,1698524034
286,ryotsu-minato,38.0833,138.4333,13.23,68,59,4.1,JP,1698524034
287,hun,29.1268,15.9477,24.7,21,10,2.58,LY,1698524034
288,wamba,8.9333,8.6,26.57,61,9,0.97,NG,1698523787
289,bamboo flat,11.7,92.7167,27.11,80,58,1.22,IN,1698524035
290,ilza,51.1631,21.2398,11.58,84,95,4.24,PL,1698524035
291,anadyr,64.75,177.4833,1.28,100,100,5.0,RU,1698524035
292,hanzhong,33.0728,107.0303,13.92,84,67,0.41,CN,1698524035
293,rabigh,22.7986,39.0349,28.44,60,100,3.47,SA,1698524035
294,san luis acatlan,16.8167,-98.7333,30.36,65,100,2.22,MX,1698524035
295,brisas de zicatela,15.8369,-97.0419,30.29,58,75,4.12,MX,1698524036
296,portland,45.5234,-122.6762,12.54,45,0,6.69,US,1698523744
297,wynyard,-41.0,145.7167,9.01,78,99,1.35,AU,1698524036
298,vorgashor,67.5833,63.95,-16.24,100,95,0.6,RU,1698523924
299,acapulco de juarez,16.8634,-99.8901,29.37,73,99,3.58,MX,1698523833
300,corumba,-19.0092,-57.6533,35.95,38,20,4.63,BR,1698524036
301,oak hill,37.9723,-81.1487,24.45,74,88,1.61,US,1698524036
302,caimancito,-23.7407,-64.5937,35.68,26,0,3.81,AR,1698523936
303,shush,32.1942,48.2436,24.92,31,70,1.62,IR,1698524036
304,ixtapa,20.7,-105.2,31.24,66,40,5.14,MX,1698524036
305,chinchilla,-26.75,150.6333,12.75,75,0,2.62,AU,1698524037
306,ulanhot,46.0833,122.0833,3.58,46,31,3.37,CN,1698524037
307,hithadhoo,-0.6,73.0833,27.18,82,52,8.02,MV,1698524037
308,taquara,-29.6506,-50.7806,25.77,80,100,0.71,BR,1698523920
309,thompson,55.7435,-97.8558,-2.91,86,75,2.06,CA,1698524037
310,sur,22.5667,59.5289,27.95,63,98,3.75,OM,1698523821
311,ancud,-41.8697,-73.8203,8.59,73,97,12.27,CL,1698523781
312,black point,-34.6187,137.8972,11.21,76,3,2.4,AU,1698524037
313,kitami,43.8031,143.8908,8.19,96,100,1.59,JP,1698524038
314,cabedelo,-6.9811,-34.8339,27.37,68,55,6.35,BR,1698524038
315,san patricio,28.017,-97.5169,33.42,54,42,7.02,US,1698524038
316,oriximina,-1.7656,-55.8661,36.34,31,68,4.16,BR,1698524038
317,grove city,39.8815,-83.093,13.99,86,100,4.12,US,1698524022
318,tres arroyos,-38.3739,-60.2798,29.42,24,85,9.9,AR,1698524038
319,holualoa,19.6228,-155.9522,28.82,66,20,5.14,US,1698523844
320,kununurra,-15.7667,128.7333,16.99,67,95,0.0,AU,1698524038
321,al hufuf,25.3646,49.5653,25.19,47,0,0.0,SA,1698524039
322,grootfontein,-19.5667,18.1167,26.39,24,70,0.97,NA,1698524039
